V1,V2
E2F2,59
RARA,59
SIX3,58
NR1H3,57
SMARCB1,56
FOXO1,55
IRF1,55
SP3,55
BMP2,54
SPIB,52
HAND2,50
POU5F1,50
ASCL1,49
ELK1,49
HEYL,49
TLX1,49
NFIC,48
PITX1,48
IGFBP1,47
MBD3,46
MYOD1,46
ZBTB17,46
YBX1,44
MEF2D,42
SMARCC1,42
CEBPA,41
MTA2,41
NEUROD1,41
NR1H2,41
TFDP1,40
TTF2,40
DNMT3B,39
HEY2,39
RFX2,39
ESRRG,38
STAT2,38
HAND1,37
HHEX,37
SMARCE1,37
TP63,37
VDR,37
AHR,36
CEBPD,36
NR2C2,36
RFX4,36
TCF12,36
KLF1,35
SIX2,35
TFE3,35
TEAD1,34
IRF5,33
SREBF1,33
ATF4,32
MAF,32
NRF1,32
SERPINA3,31
PAX5,29
ZFHX3,28
CBFB,27
IRF2,27
PAX3,27
RUNX2,27
SFPQ,27
NR0B1,26
POU3F2,26
ZXDC,26
HLF,25
JUND,25
NFYC,25
PITX2,25
HNF4A,24
PRRX1,24
ZEB1,24
ZFPM2,24
ATF3,23
HOXB1,23
HSF1,23
PBX2,23
ATF2,22
CRX,22
ELF4,22
HEY1,22
MYOG,22
NFKBIB,22
NR2F2,22
POU3F4,22
NFE2,21
PCBP1,21
MLLT1,20
MLLT6,20
SP100,20
YEATS4,20
CREB3,19
E2F4,19
HOXA5,19
KAT5,19
MEOX2,19
ZFPM1,19
FABP1,18
ARID2,18
BATF3,18
JDP2,18
NFE2L1,18
RARB,18
RPS6KA6,17
HOXA13,17
PBX3,17
RARG,17
SOX9,17
THRB,17
HES1,16
HOXA9,16
PDX1,16
PURB,16
ZHX2,16
SERPINA5,15
MAX,15
POU1F1,15
TAL1,15
CIC,14
CREB3L1,14
PRDM1,14
ESR2,13
GFI1B,13
SERPINA4,12
BATF,12
DNMT3A,12
E2F6,12
EGR1,12
EGR2,12
FOXP3,12
PAWR,12
EPAS1,11
MEOX1,11
RFXANK,11
TRERF1,11
EN1,10
GATA3,10
MSC,10
MYBL2,10
NFIX,10
NFKBIE,10
OTX2,10
STAT5B,10
TFAP2A,10
UBTF,10
F11,9
DLX5,9
HIF1A,9
HOXD9,9
KCNIP3,9
MYF6,9
SKIL,9
SMARCC2,9
SOX4,9
ZHX3,9
HOXD10,8
ISL1,8
KIAA1549,8
NR5A2,8
PCBP2,8
POU3F3,8
RORB,8
TSC22D4,8
ZNF205,8
ZNF24,8
ARID1A,7
ETV6,7
FOSL2,7
FOXA1,7
FOXO3,7
FOXP1,7
GLI2,7
HMGXB4,7
OLIG2,7
PARP1,7
PAX2,7
SP4,7
TFAP2B,7
ATF6,6
CTCF,6
HOXB7,6
NFATC1,6
THAP1,6
FGA,5
KNG1,5
ELF3,5
IKZF3,5
NKX2-1,5
POU2F2,5
SREBF2,5
STAT4,5
TERF1,5
TTF1,5
ZBTB32,5
ZNF202,5
ARNT2,4
BHLHE40,4
CEBPZ,4
CREM,4
DNMT1,4
ELF1,4
GFI1,4
GTF2I,4
HOXA10,4
MYF5,4
NR1H4,4
NR2F6,4
NR3C2,4
PATZ1,4
PHOX2A,4
RBPJ,4
RORA,4
STAT1,4
TCF20,4
ZNF184,4
ZNF76,4
CCL19,3
IGF2,3
ALX1,3
ATF5,3
CDX2,3
GATAD2B,3
GMEB1,3
HOXD4,3
KLF5,3
LHX3,3
MNT,3
MXD4,3
PHB2,3
SIM2,3
STAT3,3
TGIF1,3
WIZ,3
XBP1,3
ZBTB33,3
ZBTB7A,3
ZEB2,3
ZNF496,3
F5,2
MMP1,2
CLOCK,2
DBP,2
ELK3,2
HBP1,2
HIVEP1,2
HOXB6,2
LYAR,2
MATR3,2
NKRF,2
PPARD,2
RFX6,2
SMARCD1,2
SSRP1,2
ZBTB44,2
ZNF467,2
RAB25,1
SH3GL2,1
L1CAM,1
IL12RB2,1
ARID1B,1
ATXN7,1
BACH1,1
BCL3,1
CARHSP1,1
CENPT,1
E2F5,1
FOXO4,1
GATA6,1
GATAD2A,1
HMGA2,1
HNF4G,1
HOXA1,1
HOXC4,1
IFI16,1
KLF11,1
MGA,1
NFATC4,1
NKX3-1,1
NPAS4,1
ONECUT1,1
PCGF6,1
PPARA,1
RFXAP,1
SIX5,1
SNAPC4,1
SOX2,1
TOX4,1
ZNF423,1
ZNF580,1
ZNF8,1
